name,rating,reviews,industry_sector,no_of_employees,company_type,how_old,head_quarters
Holy Family Hospital,3.8,132,Healthcare , 1k-5k Employees , 71 years old ," Delhi/NCR +11 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Fragomen Immigration Services,4.0,132,Travel & Tourism , 51-200 Employees , 73 years old ," New York +7 more
								   Highly Rated For Company Culture, Job Security, Work Life Balance  Critically Rated For Salary & Benefits, Promotions / Appraisal",
Oakridge International School,3.6,132,Education & Training , 51-200 Employees , 13 years old ," Hyderabad/Secunderabad +9 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
Foiwe Info Global Solution,3.8,132,IT Services & Consulting , 201-500 Employees , 14 years old ," Bangalore/Bengaluru +3 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal",
Mahavir Die Casters,3.7,132,Auto Components , 501-1k Employees , 33 years old ," Faridabad  +4 more
								    Critically Rated For Promotions / Appraisal, Job Security, Company Culture",
Apex Hospital,3.8,132,Healthcare , 51-200 Employees (Global) , 30 years old ," Jaipur +24 more
								   Highly Rated For Skill Development / Learning",
Rushil Decor,4.1,132,Building Material , 501-1k Employees , Public , 30 years old , Ahmedabad +23 more
Holy Family Hospital,3.8,132,Healthcare , 1k-5k Employees , 71 years old ," Delhi/NCR +11 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Atidiv,3.3,132,IT Services & Consulting , 201-500 Employees , 15 years old ," Pune
								    Critically Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
ExcelSoft Technologies,3.5,132,IT Services & Consulting , 501-1k Employees , 24 years old ," Mysore +4 more
								   Highly Rated For Job Security  Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Life Balance",
Bharat Benz,4.0,132,Automobile , 1k-5k Employees , 13 years old ," Chennai +57 more
								   Highly Rated For Company Culture, Skill Development / Learning, Job Security",
UDS,3.8,132,Facility Management Services , 10k-50k Employees , 39 years old ," Chennai +29 more
								    Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",
Senvion,4.3,132,Power , 51-200 Employees , Startup , 7 years old , Hamburg +18 more
Givaudan,4.1,132,Beauty & Personal Care , 51-200 Employees , Forbes Global 2000 , 129 years old , Vernier +8 more
JBF Industries,3.9,132,Fashion & Textile , 201-500 Employees , Public , 42 years old , Mumbai +6 more
Gallantt Ispat,3.9,132,Iron & Steel , 501-1k Employees , Public , 19 years old , Gorakhpur +12 more
Sheth Creators,3.1,132,Real Estate , 201-500 Employees , 13 years old ," Mumbai +4 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",
Mahavir Die Casters,3.7,132,Auto Components , 501-1k Employees , 33 years old ," Faridabad  +4 more
								    Critically Rated For Promotions / Appraisal, Job Security, Company Culture",
Oswal Castings,3.8,132,Metals & Mining , 51-200 Employees , 19 years old ," Faridabad +4 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Dr. Ram Manohar Lohia Hospital,4.1,132,Healthcare , 201-500 Employees , 92 years old ," New Delhi +8 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction  Critically Rated For Promotions / Appraisal",
VISTRA INTERNATIONAL EXPANSION,3.7,132,Other , 501-1k Employees , 32 years old ," Boston +3 more
								   Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
KrishTeck Technologies,4.8,132,IT Services & Consulting , 51-200 Employees , 14 years old ," Salem +28 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture",
ZF Wabco,3.8,132,"Chennai +10 more
								    Critically Rated For Job Security, Promotions / Appraisal",,,,
VFI SLK Global Services,3.9,131,Financial Services , 1k-5k Employees , 4 years old ," Bangalore/Bengaluru +6 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
Franciscan Solutions,2.7,131,IT Services & Consulting , 501-1k Employees , 17 years old ," Greater Noida +18 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal, Company Culture",
Bombay Hospital,4.0,131,Healthcare , 501-1k Employees , 72 years old ," Mumbai +5 more
								   Highly Rated For Skill Development / Learning, Work Life Balance  Critically Rated For Salary & Benefits, Company Culture, Promotions / Appraisal",
Gulbrandsen,4.2,131,Chemicals , 501-1k Employees , 21 years old ," Vadodara/Baroda +9 more
								   Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",
TEOCO Software,3.7,131,Software Product , 201-500 Employees , 30 years old ," Fairfax +7 more
								   Highly Rated For Work Life Balance, Company Culture, Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",
Rorito International,4.2,131,Other , 501-1k Employees , 29 years old ," Chennai +30 more
								   Highly Rated For Job Security, Company Culture, Skill Development / Learning",
Amco Batteries,4.2,131,Auto Components , 201-500 Employees , Public , 69 years old , Chennai +25 more
L&T IDPL,4.2,131,Engineering & Construction , 201-500 Employees , 29 years old ," Chennai +28 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture",
DDB Mudra Group,3.6,131,Marketing & Advertising , 1k-5k Employees , 44 years old ," Mumbai +24 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",
Kantar Operations,3.9,131,Analytics & KPO , 5k-10k Employees , 31 years old ," London +18 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Manpasand Beverages,3.4,131,Beverage , 1k-5k Employees , 26 years old ," Vadodara/Baroda +29 more
								    Critically Rated For Promotions / Appraisal, Job Security, Company Culture",
FreshMenu,3.2,131,Internet , 201-500 Employees , Startup , 10 years old , Bangalore +7 more
Radix Electrosystems,3.4,131,Electronics Manufacturing , 201-500 Employees , 44 years old ," Navi Mumbai +11 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Life Balance",
Sneha Farms,4.1,131,Agriculture , 501-1k Employees (Global) , 42 years old ," Hyderabad +9 more
								   Highly Rated For Job Security, Work Life Balance, Work Satisfaction",
Peninsula Land,3.8,131,Real Estate , 501-1k Employees , Public , 27 years old , Mumbai +7 more
J.M Baxi & Co,4.0,131,Ports & Shipping , 1k-5k Employees , 108 years old ," Mumbai +20 more
								   Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal",
Pharmed,4.4,131,Pharma , 1k-5k Employees , Public , 78 years old , Bangalore/Bengaluru +33 more
Toyota Kirloskar Auto Parts,4.4,131,Auto Components , 201-500 Employees , 22 years old ," Bangalore +7 more
								   Highly Rated For Company Culture, Work Satisfaction, Skill Development / Learning",
Sadara Chemical Company,4.4,131,Chemicals , 201-500 Employees , 13 years old ," Jubail +4 more
								   Highly Rated For Skill Development / Learning, Salary & Benefits, Work Life Balance",
Connect Broadband,4.2,131,Telecom , 11-50 Employees , Public , 78 years old , Ajitgarh +16 more
Eagle Infra,4.3,131,Engineering & Construction , 1k-5k Employees , 43 years old ," Ulhasnagar +28 more
								   Highly Rated For Salary & Benefits, Work Life Balance, Work Satisfaction",
GLA University,3.7,131,Education & Training , 1k-5k Employees , 26 years old ," Mathura +7 more
								   Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal",
Jasmin Infotech,4.2,131,Hardware & Networking , 501-1k Employees , 26 years old ," Chennai +2 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture",
APC By Schneider Electric,4.3,131,Electrical Equipment , 10k-50k Employees , 43 years old ," West Kingston +14 more
								   Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction",
Indutch Composites Technology,3.7,131,Industrial Machinery , 51-200 Employees , 14 years old ," Vadodara +8 more
								    Critically Rated For Company Culture, Salary & Benefits, Promotions / Appraisal",
Trell,3.1,131,Internet , 501-1k Employees , Startup , 8 years old , Bangalore +14 more
NATIONAL SKILL DEVELOPMENT CORPORATION,3.4,131,Non-Profit , 51-200 Employees , 16 years old ," New Delhi +36 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
DOGUS SOMA JV,4.2,131,Engineering & Construction , 501-1k Employees ," Mumbai +3 more
								   Highly Rated For Work Satisfaction, Skill Development / Learning, Work Life Balance",,
First Abu Dhabi Bank,3.1,131,Banking , 201-500 Employees , Public , 7 years old , Abu Dhabi +6 more
Vishay Precision Transducers,3.7,131,Semiconductors , 1k-5k Employees , Public , 14 years old , Basingstoke +6 more
Radhakrishna Foodland,4.2,131,Logistics , 1k-5k Employees , 58 years old ," Thane +25 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture",
Bombay Hospital,4.0,131,Healthcare , 501-1k Employees , 72 years old ," Mumbai +5 more
								   Highly Rated For Skill Development / Learning, Work Life Balance  Critically Rated For Salary & Benefits, Company Culture, Promotions / Appraisal",
Franciscan Solutions,2.7,131,IT Services & Consulting , 501-1k Employees , 17 years old ," Greater Noida +18 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal, Company Culture",
Ramky Group,4.1,131,Engineering & Construction , 1k-5k Employees , 30 years old ," Issy-les-moulineaux +27 more
								   Highly Rated For Job Security, Skill Development / Learning, Work Life Balance",
Syscom Corporation,3.8,131,IT Services & Consulting , 1k-5k Employees (Global) , 28 years old ," Noida +5 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Maschio Gaspardo,3.9,131,Industrial Machinery , 201-500 Employees , 60 years old ," Pune +19 more
								   Highly Rated For Company Culture, Work Satisfaction, Job Security",
Pontika Aerotech,3.9,131,Pharma , 51-200 Employees , Public , 7 years old , Sirmour +3 more
Healthium Medtech,3.4,131,Medical Equipment , 501-1k Employees , 32 years old ," Bangalore/Bengaluru +31 more
								    Critically Rated For Job Security, Promotions / Appraisal, Company Culture",
Ruloans,3.9,131,Financial Services , 51-200 Employees (Global) , Public , 28 years old , Mumbai +29 more
Radiant Appliances,3.8,131,Electronics Manufacturing , 1k-5k Employees , 5 years old ," Hyderabad/Secunderabad +3 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",
Springworks,4.5,131,Software Product , 201-500 Employees , Startup , 10 years old , Bengaluru/Bangalore +5 more
UL Solutions,4.2,131,Other , 501-1k Employees , 130 years old ," Northbrook +7 more
								   Highly Rated For Work Life Balance, Company Culture, Job Security",
FM INDIA SUPPLY CHAIN,3.7,130,Logistics , 1k-5k Employees , 56 years old ," Pune +27 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",
HealthSpring,3.4,130,Fitness & Wellness , 201-500 Employees , 14 years old ," Mumbai +20 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",
Makino,4.0,130,Auto Components , 51-200 Employees , 87 years old ," Mason +14 more
								   Highly Rated For Skill Development / Learning, Job Security  Critically Rated For Promotions / Appraisal",
RateGain,3.8,130,IT Services & Consulting , 501-1k Employees , 20 years old ," London +4 more
								   Highly Rated For Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",
GCMMF,3.9,130,78 years old ," Anand +44 more
								   Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal",,,
Border Roads Organisation,4.0,130,Engineering & Construction , 5k-10k Employees , Public , 64 years old , New Delhi +22 more
British Paints,3.1,130,Chemicals , 51-200 Employees , 105 years old ," Delhi/NCR +56 more
								    Critically Rated For Work Satisfaction, Promotions / Appraisal, Company Culture",
Viztar International,3.4,130,Education & Training , 501-1k Employees , 17 years old ," Mumbai +18 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal, Job Security",
Impressions Services,3.9,130,Facility Management Services , 51-200 Employees , 30 years old ," Gurgaon/Gurugram +11 more
								   Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction",
BSR,3.3,130,Management Consulting , 1k-5k Employees (Global) , 32 years old ," San Francisco +20 more
								   Highly Rated For Job Security  Critically Rated For Work Life Balance, Work Satisfaction, Promotions / Appraisal",
IG Petrochemicals,3.6,130,Chemicals , 1k-5k Employees , Public , 36 years old , Mumbai +11 more
SeQuent Scientific,3.6,130,Pharma , 501-1k Employees , Public , 39 years old , Mumbai +12 more
Mafatlal Industries,4.3,130,1k-5k Employees , Public , 111 years old ," Mumbai +10 more
								   Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  Critically Rated For Promotions / Appraisal",
